bias,time,
0.200000002980232,1615879300.802,
0.200000002980232,1615879301.00238,
0.200000002980232,1615879301.20555,
0.200000002980232,1615879301.40562,
0.200000002980232,1615879301.6091,
0.200000002980232,1615879301.8095,
0.200000002980232,1615879302.01122,
0.200000002980232,1615879302.21358,
0.200000002980232,1615879302.41641,
0.200000002980232,1615879302.61784,
0.200000002980232,1615879302.82042,
0.200000002980232,1615879303.02122,
0.200000002980232,1615879303.22533,
0.200000002980232,1615879303.4282,
0.200000002980232,1615879303.62867,
0.200000002980232,1615879303.83101,
0.200000002980232,1615879304.0328,
0.200000002980232,1615879304.235,
0.200000002980232,1615879304.43576,
0.200000002980232,1615879304.64003,
0.200000002980232,1615879304.84005,
0.200000002980232,1615879305.0428,
0.200000002980232,1615879305.24365,
0.200000002980232,1615879305.44615,
0.200000002980232,1615879305.64756,
0.200000002980232,1615879305.85045,
0.200000002980232,1615879306.05075,
0.200000002980232,1615879306.25207,
0.200000002980232,1615879306.454,
0.200000002980232,1615879306.65483,
0.200000002980232,1615879306.85735,
0.200000002980232,1615879307.05989,
0.200000002980232,1615879307.26084,
0.200000002980232,1615879307.46386,
0.200000002980232,1615879307.66422,
0.200000002980232,1615879307.8674,
0.200000002980232,1615879308.0684,
0.200000002980232,1615879308.27305,
0.200000002980232,1615879308.47433,
0.200000002980232,1615879308.676,
0.200000002980232,1615879308.87765,
0.200000002980232,1615879309.07847,
0.200000002980232,1615879309.28215,
0.200000002980232,1615879309.48178,
0.200000002980232,1615879309.68454,
0.200000002980232,1615879309.88573,
0.200000002980232,1615879310.09028,
0.200000002980232,1615879310.29088,
0.200000002980232,1615879310.49282,
0.200000002980232,1615879310.69441,
0.200000002980232,1615879310.89666,
0.200000002980232,1615879311.09985,
0.200000002980232,1615879311.30068,
0.200000002980232,1615879311.50283,
0.200000002980232,1615879311.70429,
0.200000002980232,1615879311.90648,
0.200000002980232,1615879312.1083,
0.200000002980232,1615879312.3108,
0.200000002980232,1615879312.51382,
0.200000002980232,1615879312.71519,
0.200000002980232,1615879312.91638,
0.200000002980232,1615879313.11775,
0.200000002980232,1615879313.31938,
0.200000002980232,1615879313.52034,
0.200000002980232,1615879313.72325,
0.200000002980232,1615879313.92427,
0.200000002980232,1615879314.12478,
0.200000002980232,1615879314.32829,
0.200000002980232,1615879314.52887,
0.200000002980232,1615879314.73009,
0.200000002980232,1615879314.93332,
0.200000002980232,1615879315.13388,
0.200000002980232,1615879315.33639,
0.200000002980232,1615879315.53891,
0.200000002980232,1615879315.73808,
0.200000002980232,1615879315.94006,
0.200000002980232,1615879316.14477,
0.200000002980232,1615879316.34509,
0.200000002980232,1615879316.54534,
0.200000002980232,1615879316.74742,
0.200000002980232,1615879316.94836,
0.200000002980232,1615879317.15079,
0.200000002980232,1615879317.35314,
0.200000002980232,1615879317.55509,
0.200000002980232,1615879317.75694,
0.200000002980232,1615879317.95856,
0.200000002980232,1615879318.16008,
0.200000002980232,1615879318.36263,
0.200000002980232,1615879318.56482,
0.200000002980232,1615879318.7658,
0.200000002980232,1615879318.96774,
0.200000002980232,1615879319.16964,
0.200000002980232,1615879319.37159,
0.200000002980232,1615879319.57354,
0.200000002980232,1615879319.77527,
0.200000002980232,1615879319.97725,
0.200000002980232,1615879320.17815,
0.200000002980232,1615879320.38235,
0.200000002980232,1615879320.58443,
0.200000002980232,1615879320.78669,
0.200000002980232,1615879320.98805,
0.200000002980232,1615879321.18832,
0.200000002980232,1615879321.39011,
0.200000002980232,1615879321.59226,
0.200000002980232,1615879321.79377,
0.200000002980232,1615879321.99559,
0.200000002980232,1615879322.19666,
0.200000002980232,1615879322.39757,
0.200000002980232,1615879322.59815,
0.200000002980232,1615879322.79957,
0.200000002980232,1615879323.00305,
0.200000002980232,1615879323.20472,
0.200000002980232,1615879323.40972,
0.200000002980232,1615879323.61116,
0.200000002980232,1615879323.8132,
0.200000002980232,1615879324.01576,
0.200000002980232,1615879324.2159,
0.200000002980232,1615879324.42181,
0.200000002980232,1615879324.623,
0.200000002980232,1615879324.82109,
0.200000002980232,1615879325.02526,
0.200000002980232,1615879325.22899,
0.200000002980232,1615879325.43425,
0.200000002980232,1615879325.63521,
0.200000002980232,1615879325.83606,
0.200000002980232,1615879326.03873,
0.200000002980232,1615879326.2408,
0.200000002980232,1615879326.44123,
0.200000002980232,1615879326.64319,
0.200000002980232,1615879326.84497,
0.200000002980232,1615879327.0458,
0.200000002980232,1615879327.24775,
0.200000002980232,1615879327.44963,
0.200000002980232,1615879327.65091,
0.200000002980232,1615879327.85385,
0.200000002980232,1615879328.05733,
0.200000002980232,1615879328.25931,
0.200000002980232,1615879328.46691,
0.200000002980232,1615879328.66875,
0.200000002980232,1615879328.87001,
0.200000002980232,1615879329.07221,
0.200000002980232,1615879329.2753,
0.200000002980232,1615879329.47508,
0.200000002980232,1615879329.67595,
0.200000002980232,1615879329.87663,
0.200000002980232,1615879330.07959,
0.200000002980232,1615879330.28093,
0.200000002980232,1615879330.48422,
0.200000002980232,1615879330.68481,
0.200000002980232,1615879330.88702,
0.200000002980232,1615879331.09041,
0.200000002980232,1615879331.29166,
0.200000002980232,1615879331.49787,
0.200000002980232,1615879331.69646,
0.200000002980232,1615879331.89826,
0.200000002980232,1615879332.101,
0.200000002980232,1615879332.30216,
0.200000002980232,1615879332.50343,
0.200000002980232,1615879332.70662,
0.200000002980232,1615879332.90714,
0.200000002980232,1615879333.10855,
0.200000002980232,1615879333.31049,
0.200000002980232,1615879333.51212,
0.200000002980232,1615879333.71391,
0.200000002980232,1615879333.91469,
0.200000002980232,1615879334.11624,
0.200000002980232,1615879334.31844,
0.200000002980232,1615879334.51982,
0.200000002980232,1615879334.72287,
0.200000002980232,1615879334.92363,
0.200000002980232,1615879335.12527,
0.200000002980232,1615879335.32732,
0.200000002980232,1615879335.52944,
0.200000002980232,1615879335.73119,
0.200000002980232,1615879335.93165,
0.200000002980232,1615879336.1335,
0.200000002980232,1615879336.33726,
0.200000002980232,1615879336.53821,
0.200000002980232,1615879336.74016,
0.200000002980232,1615879336.94075,
0.200000002980232,1615879337.14322,
0.200000002980232,1615879337.3459,
0.200000002980232,1615879337.54708,
0.200000002980232,1615879337.74775,
0.200000002980232,1615879337.95067,
0.200000002980232,1615879338.15325,
0.200000002980232,1615879338.3544,
0.200000002980232,1615879338.55602,
0.200000002980232,1615879338.75824,
0.200000002980232,1615879338.9597,
0.200000002980232,1615879339.16099,
0.200000002980232,1615879339.36666,
0.200000002980232,1615879339.57089,
0.200000002980232,1615879339.7702,
0.200000002980232,1615879339.97151,
0.200000002980232,1615879340.17511,
0.200000002980232,1615879340.37635,
0.200000002980232,1615879340.57845,
0.200000002980232,1615879340.77919,
0.200000002980232,1615879340.98054,
0.200000002980232,1615879341.18191,
0.200000002980232,1615879341.38753,
0.200000002980232,1615879341.58658,
0.200000002980232,1615879341.78886,
0.200000002980232,1615879341.99106,
0.200000002980232,1615879342.19173,
0.200000002980232,1615879342.39728,
